,FM_cleanml002_faulty
MM_cleanml002_add_noise_mutated0_MP_100,0.44268897149938036
MM_cleanml002_add_noise_mutated0_MP_12.5,0.5213903743315508
MM_cleanml002_add_noise_mutated0_MP_15.62,0.49360613810741677
MM_cleanml002_add_noise_mutated0_MP_18.75,0.6206088992974238
MM_cleanml002_add_noise_mutated0_MP_25.0,0.518348623853211
MM_cleanml002_add_noise_mutated0_MP_28.12,0.509278350515464
MM_cleanml002_add_noise_mutated0_MP_31.25,0.5270018621973929
MM_cleanml002_add_noise_mutated0_MP_37.5,0.5482866043613707
MM_cleanml002_add_noise_mutated0_MP_50.0,0.5296017222820237
MM_cleanml002_add_noise_mutated0_MP_6.25,0.5543175487465181
MM_cleanml002_add_noise_mutated0_MP_9.38,0.5153061224489796
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_1,0.5684821786143373
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_2,0.6148867313915858
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_l2_1,0.584983498349835
MM_cleanml002_add_weights_regularisation_mutated0_MP_l1_l2_2,0.6196265740338689
MM_cleanml002_add_weights_regularisation_mutated0_MP_l2_1,0.5550918196994992
MM_cleanml002_add_weights_regularisation_mutated0_MP_l2_2,0.602866779089376
MM_cleanml002_change_activation_function_mutated0_MP_elu_1,0.5067873303167421
MM_cleanml002_change_activation_function_mutated0_MP_elu_2,0.5309734513274337
MM_cleanml002_change_activation_function_mutated0_MP_hard_sigmoid_1,0.544338967353554
MM_cleanml002_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5858585858585859
MM_cleanml002_change_activation_function_mutated0_MP_linear_1,0.44841324357741447
MM_cleanml002_change_activation_function_mutated0_MP_linear_2,0.5382653061224489
MM_cleanml002_change_activation_function_mutated0_MP_relu_1,0.4486486486486487
MM_cleanml002_change_activation_function_mutated0_MP_relu_2,0.6163601775523144
MM_cleanml002_change_activation_function_mutated0_MP_selu_1,0.5629268292682927
MM_cleanml002_change_activation_function_mutated0_MP_selu_2,0.575657894736842
MM_cleanml002_change_activation_function_mutated0_MP_sigmoid_1,0.5373048004626952
MM_cleanml002_change_activation_function_mutated0_MP_sigmoid_2,0.43436754176610987
MM_cleanml002_change_activation_function_mutated0_MP_softmax_1,0.5377821393523061
MM_cleanml002_change_activation_function_mutated0_MP_softmax_2,0.4203902356617958
MM_cleanml002_change_activation_function_mutated0_MP_softplus_1,0.5573852295409182
MM_cleanml002_change_activation_function_mutated0_MP_softplus_2,0.5005405405405406
MM_cleanml002_change_activation_function_mutated0_MP_softsign_1,0.5310173697270472
MM_cleanml002_change_activation_function_mutated0_MP_softsign_2,0.6773547094188377
MM_cleanml002_change_activation_function_mutated0_MP_tanh_1,0.5129224652087475
MM_cleanml002_change_activation_function_mutated0_MP_tanh_2,0.6648895658796649
MM_cleanml002_change_batch_size_mutated0_MP_100_100,0.48958333333333326
MM_cleanml002_change_batch_size_mutated0_MP_400_400,0.5942028985507246
MM_cleanml002_change_batch_size_mutated0_MP_50_50,0.4662379421221865
MM_cleanml002_change_batch_size_mutated0_MP_800_800,0.5692124105011934
MM_cleanml002_change_epochs_mutated0_MP_1,0.38109385550303854
MM_cleanml002_change_epochs_mutated0_MP_100,0.5835616438356164
MM_cleanml002_change_epochs_mutated0_MP_150,0.5696465696465697
MM_cleanml002_change_epochs_mutated0_MP_162,0.5155875299760192
MM_cleanml002_change_epochs_mutated0_MP_168,0.5296703296703297
MM_cleanml002_change_epochs_mutated0_MP_169,0.5265700483091786
MM_cleanml002_change_epochs_mutated0_MP_170,0.5880893300248139
MM_cleanml002_change_epochs_mutated0_MP_172,0.5454545454545454
MM_cleanml002_change_epochs_mutated0_MP_175,0.5609137055837563
MM_cleanml002_change_epochs_mutated0_MP_188,0.5210918114143921
MM_cleanml002_change_epochs_mutated0_MP_190,0.5642857142857143
MM_cleanml002_change_epochs_mutated0_MP_191,0.5049504950495048
MM_cleanml002_change_epochs_mutated0_MP_192,0.5025773195876289
MM_cleanml002_change_epochs_mutated0_MP_193,0.4653465346534652
MM_cleanml002_change_epochs_mutated0_MP_194,0.5403225806451613
MM_cleanml002_change_label_mutated0_MP_100,0.4203902356617958
MM_cleanml002_change_label_mutated0_MP_12.5,0.6521287642782969
