,FM_deepfd006_faulty
MM_deepfd006_add_noise_mutated0_MP_100,1.0
MM_deepfd006_add_noise_mutated0_MP_50.0,1.0
MM_deepfd006_add_noise_mutated0_MP_75.0,0.9914712153518123
MM_deepfd006_add_noise_mutated0_MP_87.5,0.9861351819757366
MM_deepfd006_add_noise_mutated0_MP_90.62,0.9945750452079567
MM_deepfd006_add_noise_mutated0_MP_93.75,0.9430555555555556
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_1,0.9943502824858756
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_4,0.9940119760479043
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_7,0.9512555391432792
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_1,1.0
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_4,0.9430555555555556
MM_deepfd006_add_weights_regularisation_mutated0_MP_l1_l2_7,0.9430555555555556
MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_1,0.9940711462450593
MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_4,1.0
MM_deepfd006_add_weights_regularisation_mutated0_MP_l2_7,0.9430555555555556
MM_deepfd006_change_activation_function_mutated0_MP_elu_2,0.9979296066252589
MM_deepfd006_change_activation_function_mutated0_MP_elu_5,1.0
MM_deepfd006_change_activation_function_mutated0_MP_exponential_8,0.9429763560500696
MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_2,0.946685878962536
MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_5,0.9937888198757765
MM_deepfd006_change_activation_function_mutated0_MP_hard_sigmoid_8,0.9454806312769011
MM_deepfd006_change_activation_function_mutated0_MP_linear_2,0.9945750452079567
MM_deepfd006_change_activation_function_mutated0_MP_linear_5,0.9945750452079567
MM_deepfd006_change_activation_function_mutated0_MP_relu_2,0.9608763693270733
MM_deepfd006_change_activation_function_mutated0_MP_relu_5,0.9386227544910178
MM_deepfd006_change_activation_function_mutated0_MP_selu_2,1.0
MM_deepfd006_change_activation_function_mutated0_MP_selu_5,1.0
