,FM_cleanml004_faulty
MM_cleanml004_add_noise_mutated0_MP_100,0.3192771084337349
MM_cleanml004_add_noise_mutated0_MP_12.5,0.5
MM_cleanml004_add_noise_mutated0_MP_18.75,0.3939393939393939
MM_cleanml004_add_noise_mutated0_MP_21.88,0.3023255813953488
MM_cleanml004_add_noise_mutated0_MP_25.0,0.30319148936170215
MM_cleanml004_add_noise_mutated0_MP_31.25,0.26044226044226043
MM_cleanml004_add_noise_mutated0_MP_34.38,0.30043859649122806
MM_cleanml004_add_noise_mutated0_MP_37.5,0.2407045009784736
MM_cleanml004_add_noise_mutated0_MP_50.0,0.36
MM_cleanml004_add_weights_regularisation_mutated0_MP_l1_1,0.3252551020408163
MM_cleanml004_add_weights_regularisation_mutated0_MP_l1_2,0.36450079239302696
MM_cleanml004_add_weights_regularisation_mutated0_MP_l1_l2_1,0.33206106870229013
MM_cleanml004_add_weights_regularisation_mutated0_MP_l1_l2_2,0.36746987951807225
MM_cleanml004_add_weights_regularisation_mutated0_MP_l2_1,0.5110132158590308
MM_cleanml004_add_weights_regularisation_mutated0_MP_l2_2,0.6239316239316239
MM_cleanml004_change_activation_function_mutated0_MP_elu_1,0.4206008583690986
MM_cleanml004_change_activation_function_mutated0_MP_elu_2,0.2987179487179487
MM_cleanml004_change_activation_function_mutated0_MP_exponential_1,0.32677165354330706
MM_cleanml004_change_activation_function_mutated0_MP_exponential_2,0.588888888888889
MM_cleanml004_change_activation_function_mutated0_MP_hard_sigmoid_1,0.33467741935483875
MM_cleanml004_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5466237942122186
MM_cleanml004_change_activation_function_mutated0_MP_linear_1,0.31461988304093563
MM_cleanml004_change_activation_function_mutated0_MP_linear_2,0.3644444444444444
MM_cleanml004_change_activation_function_mutated0_MP_relu_1,0.43728813559322033
MM_cleanml004_change_activation_function_mutated0_MP_relu_2,0.3641207815275311
MM_cleanml004_change_activation_function_mutated0_MP_selu_1,0.4328358208955223
MM_cleanml004_change_activation_function_mutated0_MP_selu_2,0.3514986376021798
MM_cleanml004_change_activation_function_mutated0_MP_sigmoid_1,0.3129445234708393
MM_cleanml004_change_activation_function_mutated0_MP_sigmoid_2,0.5811320754716981
MM_cleanml004_change_activation_function_mutated0_MP_softmax_1,0.451530612244898
MM_cleanml004_change_activation_function_mutated0_MP_softmax_2,0.08570153251004313
MM_cleanml004_change_activation_function_mutated0_MP_softplus_1,0.342948717948718
MM_cleanml004_change_activation_function_mutated0_MP_softplus_2,0.5083612040133779
MM_cleanml004_change_activation_function_mutated0_MP_softsign_1,0.41719745222929944
MM_cleanml004_change_activation_function_mutated0_MP_softsign_2,0.35349462365591394
MM_cleanml004_change_activation_function_mutated0_MP_tanh_1,0.4187817258883248
MM_cleanml004_change_activation_function_mutated0_MP_tanh_2,0.47474747474747486
MM_cleanml004_change_batch_size_mutated0_MP_100_100,0.4161676646706587
MM_cleanml004_change_batch_size_mutated0_MP_400_400,0.5937500000000001
MM_cleanml004_change_batch_size_mutated0_MP_50_50,0.45874587458745875
MM_cleanml004_change_batch_size_mutated0_MP_800_800,0.6233766233766234
MM_cleanml004_change_epochs_mutated0_MP_1,0.28664192949907236
MM_cleanml004_change_epochs_mutated0_MP_100,0.630350194552529
MM_cleanml004_change_epochs_mutated0_MP_150,0.602803738317757
MM_cleanml004_change_epochs_mutated0_MP_162,0.5103734439834025
MM_cleanml004_change_epochs_mutated0_MP_163,0.6883116883116883
MM_cleanml004_change_epochs_mutated0_MP_164,0.625615763546798
MM_cleanml004_change_epochs_mutated0_MP_165,0.541871921182266
MM_cleanml004_change_epochs_mutated0_MP_168,0.5551020408163266
MM_cleanml004_change_epochs_mutated0_MP_175,0.5384615384615384
MM_cleanml004_change_epochs_mutated0_MP_26,0.38003220611916266
MM_cleanml004_change_epochs_mutated0_MP_28,0.380952380952381
MM_cleanml004_change_epochs_mutated0_MP_29,0.3959044368600683
MM_cleanml004_change_epochs_mutated0_MP_32,0.4035398230088495
MM_cleanml004_change_epochs_mutated0_MP_38,0.4
MM_cleanml004_change_epochs_mutated0_MP_50,0.5011933174224343
MM_cleanml004_change_label_mutated0_MP_100,0.08570153251004313
MM_cleanml004_change_label_mutated0_MP_12.5,0.2410958904109589
MM_cleanml004_change_label_mutated0_MP_25.0,0.11536498213374173
MM_cleanml004_change_label_mutated0_MP_3.12,0.552901023890785
MM_cleanml004_change_label_mutated0_MP_50.0,0.06972285166463309
MM_cleanml004_change_label_mutated0_MP_6.25,0.3340961098398169
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.0001,0.37596302003081666
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00011,0.3800978792822186
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00012,0.3819095477386935
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00013,0.3862068965517242
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00015,0.41238938053097346
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00021,0.4603524229074889
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00033,0.606896551724138
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00055,0.5964125560538117
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00078,0.5847457627118644
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00081,0.5342465753424659
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00082,0.578740157480315
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00084,0.5299145299145299
MM_cleanml004_change_learning_rate_mutated0_MP_False_0.00089,0.49808429118773945
MM_cleanml004_change_loss_function_mutated0_MP_binary_crossentropy,0.4810126582278482
MM_cleanml004_change_loss_function_mutated0_MP_categorical_crossentropy,0.15672396359959553
MM_cleanml004_change_loss_function_mutated0_MP_categorical_hinge,0.32040050062578224
MM_cleanml004_change_loss_function_mutated0_MP_hinge,0.3296158612143742
MM_cleanml004_change_loss_function_mutated0_MP_huber_loss,0.6470588235294118
MM_cleanml004_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.053289576496327554
MM_cleanml004_change_loss_function_mutated0_MP_logcosh,0.5430711610486891
MM_cleanml004_change_loss_function_mutated0_MP_mean_absolute_error,0.32151589242053785
MM_cleanml004_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.19951140065146578
MM_cleanml004_change_loss_function_mutated0_MP_mean_squared_error,0.3980263157894737
MM_cleanml004_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.48806941431670287
MM_cleanml004_change_loss_function_mutated0_MP_poisson,0.5791366906474821
MM_cleanml004_change_loss_function_mutated0_MP_squared_hinge,0.2850521436848204
MM_cleanml004_change_optimisation_function_mutated0_MP_adadelta,0.24679639297579498
