,FM_cleanml008_faulty
MM_cleanml008_add_noise_mutated0_MP_100,0.4628 (reliable)
MM_cleanml008_add_noise_mutated0_MP_50.0,0.5096 (reliable)
MM_cleanml008_add_noise_mutated0_MP_75.0,0.4659 (reliable)
MM_cleanml008_add_noise_mutated0_MP_87.5,0.4717 (reliable)
MM_cleanml008_add_noise_mutated0_MP_93.75,0.4552 (reliable)
MM_cleanml008_add_noise_mutated0_MP_96.88,0.4594 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_1,0.4199 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_2,0.5443 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_l2_1,0.4137 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_l2_2,0.5711 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l2_1,0.5412 (reliable)
MM_cleanml008_add_weights_regularisation_mutated0_MP_l2_2,0.6135 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_elu_1,0.5422 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_elu_2,0.4439 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_exponential_1,0.4143 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_exponential_2,0.3740 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_hard_sigmoid_1,0.5325 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5250 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_linear_1,0.4124 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_linear_2,0.4456 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_relu_1,0.5681 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_relu_2,0.4684 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_selu_1,0.5183 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_selu_2,0.3634 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_sigmoid_1,0.5550 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_sigmoid_2,0.5732 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softmax_1,0.4458 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softmax_2,0.2357 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softplus_1,0.5561 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softplus_2,0.4147 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softsign_1,0.5486 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_softsign_2,0.5087 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_tanh_1,0.5601 (reliable)
MM_cleanml008_change_activation_function_mutated0_MP_tanh_2,0.5353 (reliable)
MM_cleanml008_change_batch_size_mutated0_MP_100_100,0.5434 (reliable)
MM_cleanml008_change_batch_size_mutated0_MP_400_400,0.5898 (reliable)
MM_cleanml008_change_batch_size_mutated0_MP_50_50,0.5435 (reliable)
MM_cleanml008_change_batch_size_mutated0_MP_800_800,0.5853 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_1,0.4097 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_100,0.6136 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_150,0.5553 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_162,0.5538 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_168,0.5741 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_172,0.5574 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_174,0.5454 (reliable)
MM_cleanml008_change_epochs_mutated0_MP_175,0.5822 (reliable)
MM_cleanml008_change_label_mutated0_MP_100,0.1057 (reliable)
MM_cleanml008_change_label_mutated0_MP_12.5,0.3441 (reliable)
MM_cleanml008_change_label_mutated0_MP_25.0,0.2435 (reliable)
MM_cleanml008_change_label_mutated0_MP_3.12,0.5042 (reliable)
MM_cleanml008_change_label_mutated0_MP_50.0,0.1633 (reliable)
MM_cleanml008_change_label_mutated0_MP_6.25,0.4304 (reliable)
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.0001,0.5533 (reliable)
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.00055,0.5654 (reliable)
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.00078,0.5470 (reliable)
