,FM_cleanml009_faulty
MM_cleanml009_GF_0.01_1,0.10633839706652698
MM_cleanml009_GF_0.1_1,0.08802717237475234
MM_cleanml009_GF_0.2_1,0.09986149584487536
MM_cleanml009_GF_0.6_1,0.09830552321821238
MM_cleanml009_GF_1.0_1,0.10025858015984954
MM_cleanml009_LA_0.01_1,0.22182340272792536
MM_cleanml009_NAI_0.01_1,0.43564356435643564
MM_cleanml009_NAI_0.1_1,0.18197230856174063
MM_cleanml009_NEB_0.01_1,0.7786259541984732
MM_cleanml009_NEB_0.1_1,0.507910074937552
MM_cleanml009_NS_0.01_1,0.39189189189189194
MM_cleanml009_NS_0.1_1,0.36500627877773123
MM_cleanml009_NS_0.2_1,0.24782010096374482
MM_cleanml009_WS_0.01_1,0.5274390243902439
MM_cleanml009_WS_0.2_1,0.2805265546981389
