,FM_cleanml019_faulty
MM_cleanml019_original0_GF_0.01_1,0.4283 (reliable)
MM_cleanml019_original0_LA_0.01_1,0.4568 (reliable)
MM_cleanml019_original0_NAI_0.01_1,0.4501 (reliable)
MM_cleanml019_original0_NEB_0.01_1,0.4433 (reliable)
MM_cleanml019_original0_NS_0.01_1,0.4318 (reliable)
MM_cleanml019_original0_WS_0.01_1,0.4447 (reliable)
MM_cleanml019_original1_GF_0.01_1,0.4768 (reliable)
MM_cleanml019_original1_LA_0.01_1,0.4667 (reliable)
MM_cleanml019_original1_NAI_0.01_1,0.4918 (reliable)
MM_cleanml019_original1_NEB_0.01_1,0.4892 (reliable)
MM_cleanml019_original1_NS_0.01_1,0.4837 (reliable)
MM_cleanml019_original1_WS_0.01_1,0.4902 (reliable)
MM_cleanml019_original2_GF_0.01_1,0.4887 (reliable)
MM_cleanml019_original2_LA_0.01_1,0.4869 (reliable)
MM_cleanml019_original2_NAI_0.01_1,0.4940 (reliable)
MM_cleanml019_original2_NEB_0.01_1,0.4943 (reliable)
MM_cleanml019_original2_NS_0.01_1,0.4989 (reliable)
MM_cleanml019_original2_WS_0.01_1,0.4888 (reliable)
MM_cleanml019_original3_GF_0.01_1,0.4926 (reliable)
MM_cleanml019_original3_LA_0.01_1,0.4795 (reliable)
MM_cleanml019_original3_NAI_0.01_1,0.4831 (reliable)
MM_cleanml019_original3_NEB_0.01_1,0.4904 (reliable)
MM_cleanml019_original3_NS_0.01_1,0.4901 (reliable)
MM_cleanml019_original3_WS_0.01_1,0.4993 (reliable)
MM_cleanml019_original4_GF_0.01_1,0.4717 (reliable)
MM_cleanml019_original4_LA_0.01_1,0.4708 (reliable)
MM_cleanml019_original4_NAI_0.01_1,0.4869 (reliable)
MM_cleanml019_original4_NEB_0.01_1,0.4736 (reliable)
MM_cleanml019_original4_NS_0.01_1,0.4775 (reliable)
MM_cleanml019_original4_WS_0.01_1,0.4829 (reliable)
