,FM_deepfd016_faulty
MM_deepfd016_add_noise_mutated0_MP_100,0.5333 (reliable)
MM_deepfd016_add_noise_mutated0_MP_47.5,0.0000 (unreliable)
MM_deepfd016_add_noise_mutated0_MP_51.88,0.0000 (unreliable)
MM_deepfd016_add_noise_mutated0_MP_56.25,0.4000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_65.0,0.4000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_69.38,0.4000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_73.75,0.4000 (reliable)
MM_deepfd016_add_noise_mutated0_MP_82.5,0.4000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_1,0.4000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_2,1.0000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_l2_1,0.5000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l1_l2_2,0.4000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l2_1,0.4000 (reliable)
MM_deepfd016_add_weights_regularisation_mutated0_MP_l2_2,0.6667 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_elu_1,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_elu_2,0.6905 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_exponential_1,0.2857 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_exponential_2,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_hard_sigmoid_1,0.5000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_hard_sigmoid_2,0.8333 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_linear_1,1.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_linear_2,0.3735 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_relu_1,1.0000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_selu_1,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_selu_2,0.4186 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_sigmoid_1,0.5000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_sigmoid_2,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softmax_1,0.7500 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softmax_2,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softplus_1,0.4000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softplus_2,0.7500 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_softsign_1,0.5000 (reliable)
MM_deepfd016_change_activation_function_mutated0_MP_softsign_2,0.5644 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_tanh_1,0.0000 (unreliable)
MM_deepfd016_change_activation_function_mutated0_MP_tanh_2,0.5952 (unreliable)
MM_deepfd016_change_epochs_mutated0_MP_106,0.5000 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_125,0.4000 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_144,0.5000 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_162,1.0000 (reliable)
MM_deepfd016_change_epochs_mutated0_MP_50,0.7222 (unreliable)
MM_deepfd016_change_epochs_mutated0_MP_88,0.7143 (unreliable)
MM_deepfd016_change_label_mutated0_MP_100,0.2609 (reliable)
MM_deepfd016_change_label_mutated0_MP_12.5,0.3333 (reliable)
MM_deepfd016_change_label_mutated0_MP_25.0,0.6667 (unreliable)
MM_deepfd016_change_label_mutated0_MP_3.12,0.2000 (reliable)
MM_deepfd016_change_label_mutated0_MP_50.0,0.6111 (reliable)
MM_deepfd016_change_label_mutated0_MP_6.25,0.5714 (unreliable)
