,FM_deepfd028_faulty
MM_deepfd028_original0_GF_0.01_1,0.3977272727272727
MM_deepfd028_original0_LD_0.01_1,0.39181286549707595
MM_deepfd028_original0_LR_0.01_1,0.39181286549707595
MM_deepfd028_original0_NAI_0.01_1,0.4047619047619049
MM_deepfd028_original0_NEB_0.01_1,0.415204678362573
MM_deepfd028_original0_NS_0.01_1,0.40697674418604646
MM_deepfd028_original0_WS_0.01_1,0.8018018018018016
MM_deepfd028_original1_GF_0.01_1,0.6000000000000001
MM_deepfd028_original1_LA_0.01_1,0.7450980392156863
MM_deepfd028_original1_LD_0.01_1,0.6222222222222222
MM_deepfd028_original1_LR_0.01_1,0.6222222222222222
MM_deepfd028_original1_NAI_0.01_1,0.5696202531645569
MM_deepfd028_original1_NEB_0.01_1,0.6086956521739131
MM_deepfd028_original1_NS_0.01_1,0.6964285714285715
MM_deepfd028_original1_WS_0.01_1,0.7234042553191489
MM_deepfd028_original2_GF_0.01_1,0.7457627118644068
MM_deepfd028_original2_LD_0.01_1,0.6923076923076923
MM_deepfd028_original2_LR_0.01_1,0.6923076923076923
MM_deepfd028_original2_NAI_0.01_1,0.7250000000000001
MM_deepfd028_original2_NEB_0.01_1,0.7321428571428572
MM_deepfd028_original2_NS_0.01_1,0.7017543859649122
MM_deepfd028_original2_WS_0.01_1,0.7460317460317462
MM_deepfd028_original3_GF_0.01_1,0.5277777777777778
MM_deepfd028_original3_LA_0.01_1,0.5555555555555556
MM_deepfd028_original3_LD_0.01_1,0.5205479452054795
MM_deepfd028_original3_LR_0.01_1,0.5205479452054795
MM_deepfd028_original3_NAI_0.01_1,0.5054945054945055
MM_deepfd028_original3_NEB_0.01_1,0.5277777777777778
MM_deepfd028_original3_WS_0.01_1,0.5106382978723405
MM_deepfd028_original4_GF_0.01_1,0.48529411764705876
MM_deepfd028_original4_LA_0.01_1,0.46153846153846156
MM_deepfd028_original4_LD_0.01_1,0.46153846153846156
MM_deepfd028_original4_LR_0.01_1,0.46153846153846156
MM_deepfd028_original4_NAI_0.01_1,0.47474747474747475
MM_deepfd028_original4_NEB_0.01_1,0.5
MM_deepfd028_original4_NS_0.01_1,0.5945945945945946
MM_deepfd028_original4_WS_0.01_1,0.5675675675675675
