,FM_deepfd047_faulty
MM_deepfd047_add_noise_mutated0_MP_100,0.7594501718213058
MM_deepfd047_add_noise_mutated0_MP_25.0,0.7427659574468085
MM_deepfd047_add_noise_mutated0_MP_37.5,0.7456340167046316
MM_deepfd047_add_noise_mutated0_MP_43.75,0.7766306898169874
MM_deepfd047_add_noise_mutated0_MP_46.88,0.7505584512285927
MM_deepfd047_add_noise_mutated0_MP_50.0,0.7707649583438525
MM_deepfd047_add_noise_mutated0_MP_75.0,0.7645396750647516
MM_deepfd047_add_noise_mutated0_MP_87.5,0.7718585762064023
MM_deepfd047_add_noise_mutated0_MP_90.62,0.7521047708138447
MM_deepfd047_add_noise_mutated0_MP_93.75,0.7603804221758292
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_1,0.6065388951521985
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_2,0.7557286892758938
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_3,0.7982385908726982
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_4,0.7882037533512064
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_l2_1,0.5846930193439865
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_l2_2,0.7436313107920334
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_l2_3,0.7590822179732314
MM_deepfd047_add_weights_regularisation_mutated0_MP_l1_l2_4,0.7917195834391668
MM_deepfd047_add_weights_regularisation_mutated0_MP_l2_1,0.7269213278763074
MM_deepfd047_add_weights_regularisation_mutated0_MP_l2_2,0.7353200883002208
MM_deepfd047_add_weights_regularisation_mutated0_MP_l2_3,0.7567314446265513
MM_deepfd047_add_weights_regularisation_mutated0_MP_l2_4,0.7671130952380952
MM_deepfd047_change_activation_function_mutated0_MP_elu_1,0.7434936038817822
MM_deepfd047_change_activation_function_mutated0_MP_elu_2,0.7568647029455815
MM_deepfd047_change_activation_function_mutated0_MP_elu_3,0.7469851576994433
MM_deepfd047_change_activation_function_mutated0_MP_elu_4,0.13310828953929954
MM_deepfd047_change_activation_function_mutated0_MP_exponential_1,0.762031438935913
MM_deepfd047_change_activation_function_mutated0_MP_exponential_2,0.7697860962566846
MM_deepfd047_change_activation_function_mutated0_MP_exponential_3,0.7741712707182321
MM_deepfd047_change_activation_function_mutated0_MP_exponential_4,0.7577319587628866
MM_deepfd047_change_activation_function_mutated0_MP_hard_sigmoid_1,0.7489992936190252
MM_deepfd047_change_activation_function_mutated0_MP_hard_sigmoid_2,0.7701404286770142
MM_deepfd047_change_activation_function_mutated0_MP_hard_sigmoid_3,0.7735849056603773
MM_deepfd047_change_activation_function_mutated0_MP_hard_sigmoid_4,0.3865110246433204
MM_deepfd047_change_activation_function_mutated0_MP_linear_1,0.7563698131521475
MM_deepfd047_change_activation_function_mutated0_MP_linear_2,0.7389051588195539
MM_deepfd047_change_activation_function_mutated0_MP_linear_3,0.7795368620037807
MM_deepfd047_change_activation_function_mutated0_MP_linear_4,0.12633847397131118
MM_deepfd047_change_activation_function_mutated0_MP_relu_1,0.7354753521126761
MM_deepfd047_change_activation_function_mutated0_MP_relu_2,0.7546864151816709
MM_deepfd047_change_activation_function_mutated0_MP_relu_3,0.753793103448276
MM_deepfd047_change_activation_function_mutated0_MP_selu_1,0.7592803461626052
MM_deepfd047_change_activation_function_mutated0_MP_selu_2,0.7414621806223122
MM_deepfd047_change_activation_function_mutated0_MP_selu_3,0.7560162020490826
MM_deepfd047_change_activation_function_mutated0_MP_selu_4,0.1310737852429514
MM_deepfd047_change_activation_function_mutated0_MP_sigmoid_1,0.7600880410858403
MM_deepfd047_change_activation_function_mutated0_MP_sigmoid_2,0.7525276841598459
MM_deepfd047_change_activation_function_mutated0_MP_sigmoid_3,0.7476822851415684
MM_deepfd047_change_activation_function_mutated0_MP_sigmoid_4,0.7945205479452054
MM_deepfd047_change_activation_function_mutated0_MP_softmax_1,0.7212528904771913
MM_deepfd047_change_activation_function_mutated0_MP_softmax_2,0.7408842297174111
MM_deepfd047_change_activation_function_mutated0_MP_softmax_3,0.7352202693448985
MM_deepfd047_change_activation_function_mutated0_MP_softmax_4,0.7578124999999998
MM_deepfd047_change_activation_function_mutated0_MP_softplus_1,0.7447137699845281
MM_deepfd047_change_activation_function_mutated0_MP_softplus_2,0.7725568607848038
MM_deepfd047_change_activation_function_mutated0_MP_softplus_3,0.7442162724200675
MM_deepfd047_change_activation_function_mutated0_MP_softplus_4,0.76962879640045
MM_deepfd047_change_activation_function_mutated0_MP_softsign_1,0.7582727059375733
MM_deepfd047_change_activation_function_mutated0_MP_softsign_2,0.7426418648457735
MM_deepfd047_change_activation_function_mutated0_MP_softsign_3,0.7468713105076741
MM_deepfd047_change_activation_function_mutated0_MP_softsign_4,0.14806410438235706
MM_deepfd047_change_activation_function_mutated0_MP_tanh_1,0.7669342699448068
MM_deepfd047_change_activation_function_mutated0_MP_tanh_2,0.7892529488859764
MM_deepfd047_change_activation_function_mutated0_MP_tanh_3,0.7728401191658392
MM_deepfd047_change_batch_size_mutated0_MP_128_128,0.7705273296412231
MM_deepfd047_change_batch_size_mutated0_MP_16_16,0.7330527248560037
MM_deepfd047_change_batch_size_mutated0_MP_64_64,0.7717441325356651
MM_deepfd047_change_batch_size_mutated0_MP_8_8,0.7300022406453057
MM_deepfd047_change_epochs_mutated0_MP_1,0.7481514676226751
MM_deepfd047_change_epochs_mutated0_MP_4,0.7606274153216641
MM_deepfd047_change_epochs_mutated0_MP_5,0.7362736273627363
MM_deepfd047_change_epochs_mutated0_MP_6,0.7849898580121705
MM_deepfd047_change_label_mutated0_MP_100,0.36956278653695623
MM_deepfd047_change_label_mutated0_MP_25.0,0.7478991596638656
MM_deepfd047_change_label_mutated0_MP_31.25,0.7592126344701304
MM_deepfd047_change_label_mutated0_MP_34.38,0.7626497188951358
MM_deepfd047_change_label_mutated0_MP_37.5,0.7435374149659864
MM_deepfd047_change_label_mutated0_MP_50.0,0.7469443186962427
MM_deepfd047_change_label_mutated0_MP_53.12,0.7626696832579186
MM_deepfd047_change_label_mutated0_MP_56.25,0.7362537075062742
MM_deepfd047_change_label_mutated0_MP_62.5,0.7184882971870303
MM_deepfd047_change_label_mutated0_MP_75.0,0.6714285714285716
MM_deepfd047_change_learning_rate_mutated0_MP_False_0.0001,0.780031612223393
MM_deepfd047_change_learning_rate_mutated0_MP_False_0.0002,0.7518545106484805
MM_deepfd047_change_learning_rate_mutated0_MP_False_0.0003,0.7524659464537343
MM_deepfd047_change_learning_rate_mutated0_MP_False_0.0006,0.7603305785123966
MM_deepfd047_change_loss_function_mutated0_MP_binary_crossentropy,0.7517714285714286
MM_deepfd047_change_loss_function_mutated0_MP_categorical_hinge,0.7623306233062331
MM_deepfd047_change_loss_function_mutated0_MP_hinge,0.30024278392230913
MM_deepfd047_change_loss_function_mutated0_MP_huber_loss,0.7675713291579679
MM_deepfd047_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.7725272179754459
MM_deepfd047_change_loss_function_mutated0_MP_logcosh,0.7759562841530055
MM_deepfd047_change_loss_function_mutated0_MP_mean_absolute_error,0.5720627873791025
MM_deepfd047_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.4854066307735903
MM_deepfd047_change_loss_function_mutated0_MP_mean_squared_error,0.7539564787339267
MM_deepfd047_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.7667202941852448
MM_deepfd047_change_loss_function_mutated0_MP_poisson,0.7642316149523577
MM_deepfd047_change_loss_function_mutated0_MP_squared_hinge,0.7765105556903664
MM_deepfd047_change_optimisation_function_mutated0_MP_adadelta,0.31544988509810856
MM_deepfd047_change_optimisation_function_mutated0_MP_adagrad,0.5992562422525234
MM_deepfd047_change_optimisation_function_mutated0_MP_adamax,0.7559537310047629
MM_deepfd047_change_optimisation_function_mutated0_MP_nadam,0.7659472422062351
MM_deepfd047_change_optimisation_function_mutated0_MP_rmsprop,0.7445342205323195
MM_deepfd047_change_optimisation_function_mutated0_MP_sgd,0.7403410317289013
MM_deepfd047_change_weights_initialisation_mutated0_MP_constant_1,0.12026425286517262
MM_deepfd047_change_weights_initialisation_mutated0_MP_constant_2,0.12026425286517262
MM_deepfd047_change_weights_initialisation_mutated0_MP_constant_3,0.12026425286517262
MM_deepfd047_change_weights_initialisation_mutated0_MP_constant_4,0.7343417631765541
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.7400518012714858
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.7292979297929794
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.7425889328063241
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_normal_4,0.7772020725388601
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.7611308993766696
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.7627270688495179
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.7531285551763367
MM_deepfd047_change_weights_initialisation_mutated0_MP_glorot_uniform_4,0.7584352078239609
MM_deepfd047_change_weights_initialisation_mutated0_MP_he_normal_1,0.7723399074750428
MM_deepfd047_change_weights_initialisation_mutated0_MP_he_normal_2,0.7680019074868861
MM_deepfd047_change_weights_initialisation_mutated0_MP_he_normal_3,0.7378815080789947
