,FM_deeplocalize021_faulty
MM_deeplocalize021_add_activation_function_mutated0_MP_elu_1,0.6266666666666667
MM_deeplocalize021_add_activation_function_mutated0_MP_elu_11,0.5384615384615385
MM_deeplocalize021_add_activation_function_mutated0_MP_elu_14,0.7022900763358779
MM_deeplocalize021_add_activation_function_mutated0_MP_elu_4,0.5930232558139535
MM_deeplocalize021_add_activation_function_mutated0_MP_elu_7,0.5368421052631579
MM_deeplocalize021_add_activation_function_mutated0_MP_exponential_1,0.6073619631901841
MM_deeplocalize021_add_activation_function_mutated0_MP_exponential_11,0.6095238095238096
MM_deeplocalize021_add_activation_function_mutated0_MP_exponential_14,0.6994219653179191
MM_deeplocalize021_add_activation_function_mutated0_MP_exponential_4,0.6384180790960451
MM_deeplocalize021_add_activation_function_mutated0_MP_exponential_7,0.6538461538461537
MM_deeplocalize021_add_activation_function_mutated0_MP_hard_sigmoid_1,0.6047904191616766
MM_deeplocalize021_add_activation_function_mutated0_MP_hard_sigmoid_11,0.6126126126126127
MM_deeplocalize021_add_activation_function_mutated0_MP_hard_sigmoid_14,0.6174496644295302
MM_deeplocalize021_add_activation_function_mutated0_MP_hard_sigmoid_4,0.6047904191616766
MM_deeplocalize021_add_activation_function_mutated0_MP_hard_sigmoid_7,0.7368421052631579
MM_deeplocalize021_add_activation_function_mutated0_MP_linear_1,0.6610169491525425
MM_deeplocalize021_add_activation_function_mutated0_MP_linear_11,0.6222222222222222
MM_deeplocalize021_add_activation_function_mutated0_MP_linear_14,0.6116504854368932
MM_deeplocalize021_add_activation_function_mutated0_MP_linear_4,0.6272727272727273
MM_deeplocalize021_add_activation_function_mutated0_MP_linear_7,0.5375000000000002
MM_deeplocalize021_add_activation_function_mutated0_MP_relu_1,0.6161616161616161
MM_deeplocalize021_add_activation_function_mutated0_MP_relu_11,0.6904761904761907
MM_deeplocalize021_add_activation_function_mutated0_MP_relu_14,0.7724137931034484
MM_deeplocalize021_add_activation_function_mutated0_MP_relu_4,0.5368421052631579
MM_deeplocalize021_add_activation_function_mutated0_MP_relu_7,0.8245614035087718
MM_deeplocalize021_add_activation_function_mutated0_MP_selu_1,0.6533333333333334
MM_deeplocalize021_add_activation_function_mutated0_MP_selu_11,0.5625
