,FM_deeplocalize024_faulty
MM_deeplocalize024_add_noise_mutated0_MP_100,0.7500 (unreliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_1,0.2000 (unreliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_2,0.3600 (unreliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_l2_1,0.7273 (unreliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_l2_2,0.5000 (reliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l2_1,0.3889 (unreliable)
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l2_2,0.4286 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_elu_1,0.1667 (reliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_exponential_1,0.4000 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_exponential_2,0.2941 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_hard_sigmoid_1,0.3500 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_hard_sigmoid_2,0.5065 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_linear_1,0.3333 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_linear_2,0.4118 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_relu_1,0.6786 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_selu_1,0.3333 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_sigmoid_1,0.4583 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_sigmoid_2,0.4000 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_softmax_1,0.2500 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_softmax_2,0.3529 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_softplus_1,0.2857 (reliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_softplus_2,0.5918 (unreliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_softsign_1,0.1667 (reliable)
MM_deeplocalize024_change_activation_function_mutated0_MP_tanh_1,0.5333 (unreliable)
MM_deeplocalize024_change_batch_size_mutated0_MP_10_10,0.2414 (reliable)
MM_deeplocalize024_change_batch_size_mutated0_MP_1_1,0.5000 (unreliable)
MM_deeplocalize024_change_batch_size_mutated0_MP_20_20,0.4286 (reliable)
MM_deeplocalize024_change_batch_size_mutated0_MP_2_2,0.4000 (unreliable)
MM_deeplocalize024_change_epochs_mutated0_MP_1,0.5115 (unreliable)
MM_deeplocalize024_change_epochs_mutated0_MP_14,0.4123 (reliable)
MM_deeplocalize024_change_epochs_mutated0_MP_20,0.4457 (reliable)
MM_deeplocalize024_change_epochs_mutated0_MP_23,0.2326 (reliable)
MM_deeplocalize024_change_epochs_mutated0_MP_26,0.2830 (reliable)
MM_deeplocalize024_change_epochs_mutated0_MP_38,0.5224 (unreliable)
MM_deeplocalize024_change_epochs_mutated0_MP_41,0.3448 (reliable)
MM_deeplocalize024_change_epochs_mutated0_MP_44,0.6429 (unreliable)
MM_deeplocalize024_change_label_mutated0_MP_100,0.2083 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_12.5,0.3421 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_15.62,0.3200 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_18.75,0.3273 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_21.88,0.3462 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_25.0,0.2899 (reliable)
MM_deeplocalize024_change_label_mutated0_MP_50.0,0.2222 (reliable)
MM_deeplocalize024_change_learning_rate_mutated0_MP_False_0.0001,0.5614 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_binary_crossentropy,0.3947 (reliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_categorical_hinge,0.3061 (reliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_hinge,0.5769 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_huber_loss,0.8000 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.7714 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_logcosh,0.2500 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_mean_absolute_error,0.2432 (reliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.2051 (reliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_mean_squared_error,0.2308 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.6346 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_poisson,0.5918 (unreliable)
MM_deeplocalize024_change_loss_function_mutated0_MP_squared_hinge,0.2955 (reliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_adadelta,0.3744 (unreliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_adagrad,0.8101 (unreliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_adamax,0.4123 (reliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_nadam,0.6842 (unreliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_rmsprop,0.7273 (unreliable)
MM_deeplocalize024_change_optimisation_function_mutated0_MP_sgd,0.2727 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_constant_1,0.2881 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_constant_2,0.3143 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.3333 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.8750 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.5000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.5000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_he_normal_1,0.5714 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_he_normal_2,0.1667 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_he_uniform_1,0.5714 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_he_uniform_2,0.8000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_identity_1,0.1000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_identity_2,0.5000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.5278 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_lecun_normal_2,0.2500 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_lecun_uniform_1,0.3333 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_lecun_uniform_2,0.5000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_ones_1,0.2778 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_ones_2,0.1786 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_orthogonal_1,0.4286 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_orthogonal_2,0.7500 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_random_normal_1,0.3636 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_random_normal_2,0.5000 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_random_uniform_1,0.5937 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_random_uniform_2,0.2941 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_truncated_normal_1,0.2308 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.1667 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_variance_scaling_1,0.4762 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_variance_scaling_2,0.4667 (unreliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_zeros_1,0.2881 (reliable)
MM_deeplocalize024_change_weights_initialisation_mutated0_MP_zeros_2,0.2812 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_12.38,0.3421 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_18.57,0.2857 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_21.66,0.4583 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_24.75,0.2286 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_30.93,0.6731 (unreliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_34.02,0.2857 (unreliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_37.12,0.2037 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_40.22,0.2917 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_43.31,0.1918 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_49.5,0.2500 (reliable)
MM_deeplocalize024_delete_training_data_mutated0_MP_99,0.5748 (unreliable)
MM_deeplocalize024_disable_batching_mutated0_MP,0.4110 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_100,0.2083 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_21.25,0.2273 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_24.06,0.2340 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_26.88,0.2131 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_32.5,0.2667 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_35.31,0.3250 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_38.12,0.2540 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_43.75,0.2267 (reliable)
MM_deeplocalize024_make_output_classes_overlap_mutated0_MP_55.0,0.1842 (reliable)
MM_deeplocalize024_remove_activation_function_mutated0_MP_1,0.2000 (unreliable)
MM_deeplocalize024_remove_bias_mutated0_MP_1,0.2273 (reliable)
MM_deeplocalize024_remove_bias_mutated0_MP_2,0.3261 (reliable)
MM_deeplocalize024_remove_validation_set_mutated0_MP,0.2632 (unreliable)
MM_deeplocalize024_unbalance_train_data_mutated0_MP_100,0.2168 (reliable)
MM_deeplocalize024_unbalance_train_data_mutated0_MP_62.5,0.6078 (unreliable)
MM_deeplocalize024_unbalance_train_data_mutated0_MP_81.25,0.4348 (unreliable)
MM_deeplocalize024_unbalance_train_data_mutated0_MP_90.62,0.4688 (unreliable)
MM_deeplocalize024_unbalance_train_data_mutated0_MP_95.31,0.4267 (unreliable)
