,FM_deeplocalize039_faulty
MM_deeplocalize039_GF_0.01_1,0.565749235474006
MM_deeplocalize039_GF_0.1_1,0.6221374045801525
MM_deeplocalize039_GF_0.2_1,0.6229007633587785
MM_deeplocalize039_GF_0.6_1,0.5069393718042365
MM_deeplocalize039_GF_1.0_1,0.5538537549407114
MM_deeplocalize039_LA_0.01_1,0.1838042528400816
MM_deeplocalize039_LD_0.01_1,0.0
MM_deeplocalize039_LR_0.01_1,0.040081647801076266
MM_deeplocalize039_NAI_0.01_1,0.6806136680613667
MM_deeplocalize039_NAI_0.1_1,0.40930546190155104
MM_deeplocalize039_NEB_0.01_1,0.8161888701517707
MM_deeplocalize039_NEB_0.1_1,0.6724738675958187
MM_deeplocalize039_NS_0.01_1,0.482084690553746
MM_deeplocalize039_WS_0.01_1,0.6313025210084032
MM_deeplocalize039_WS_0.1_1,0.36114911080711354
MM_deeplocalize039_WS_0.2_1,0.5584745762711864
