,FM_deeplocalize040_faulty
MM_deeplocalize040_GF_0.01_1,0.6515 (reliable)
MM_deeplocalize040_GF_0.1_1,0.6056 (reliable)
MM_deeplocalize040_GF_0.2_1,0.6421 (reliable)
MM_deeplocalize040_GF_0.6_1,0.5296 (reliable)
MM_deeplocalize040_GF_1.0_1,0.6516 (reliable)
MM_deeplocalize040_LD_0.01_1,0.0000 (unreliable)
MM_deeplocalize040_LR_0.01_1,0.5657 (reliable)
MM_deeplocalize040_NAI_0.01_1,0.5533 (reliable)
MM_deeplocalize040_NAI_0.1_1,0.5469 (reliable)
MM_deeplocalize040_NAI_0.2_1,0.5755 (reliable)
MM_deeplocalize040_NEB_0.01_1,0.6974 (reliable)
MM_deeplocalize040_NEB_0.1_1,0.6412 (reliable)
MM_deeplocalize040_NEB_0.2_1,0.6473 (reliable)
MM_deeplocalize040_WS_0.01_1,0.6815 (reliable)
MM_deeplocalize040_WS_0.1_1,0.5769 (reliable)
