,FM_defect4ml011_faulty
MM_defect4ml011_original0_GF_0.01_1,0.5249266862170089
MM_defect4ml011_original0_LD_0.01_1,0.4839813374805599
MM_defect4ml011_original0_LR_0.01_1,0.44066666666666665
MM_defect4ml011_original0_NAI_0.01_1,0.421018276762402
MM_defect4ml011_original0_NEB_0.01_1,0.5202643171806167
MM_defect4ml011_original0_NS_0.01_1,0.5091185410334347
MM_defect4ml011_original0_WS_0.01_1,0.4559034416826004
MM_defect4ml011_original1_GF_0.01_1,0.5676776822091444
MM_defect4ml011_original1_LA_0.01_1,0.4913406029506094
MM_defect4ml011_original1_LD_0.01_1,0.481614057923853
MM_defect4ml011_original1_LR_0.01_1,0.39349215572341667
MM_defect4ml011_original1_NAI_0.01_1,0.504695996045477
MM_defect4ml011_original1_NEB_0.01_1,0.5601750547045953
MM_defect4ml011_original1_NS_0.01_1,0.5508813160987074
MM_defect4ml011_original1_WS_0.01_1,0.4888422658783139
MM_defect4ml011_original2_GF_0.01_1,0.4926586853399595
MM_defect4ml011_original2_LA_0.01_1,0.4609580052493438
MM_defect4ml011_original2_LD_0.01_1,0.44917491749174926
MM_defect4ml011_original2_LR_0.01_1,0.3895200556457222
MM_defect4ml011_original2_NAI_0.01_1,0.316637991461161
MM_defect4ml011_original2_NEB_0.01_1,0.5214061272584446
MM_defect4ml011_original2_NS_0.01_1,0.5215583278616764
MM_defect4ml011_original2_WS_0.01_1,0.463447251114413
MM_defect4ml011_original3_GF_0.01_1,0.5323722812341932
MM_defect4ml011_original3_LD_0.01_1,0.4786716289722303
MM_defect4ml011_original3_LR_0.01_1,0.2835355520911001
MM_defect4ml011_original3_NAI_0.01_1,0.4500326583932071
MM_defect4ml011_original3_NEB_0.01_1,0.5242187500000002
MM_defect4ml011_original3_NS_0.01_1,0.5284537968892955
MM_defect4ml011_original3_WS_0.01_1,0.44507139567019793
MM_defect4ml011_original4_GF_0.01_1,0.5579296371339104
MM_defect4ml011_original4_LA_0.01_1,0.4997484909456741
MM_defect4ml011_original4_LD_0.01_1,0.4997484909456741
MM_defect4ml011_original4_LR_0.01_1,0.3530268199233717
MM_defect4ml011_original4_NAI_0.01_1,0.40527783737395406
MM_defect4ml011_original4_NEB_0.01_1,0.5303727565577544
MM_defect4ml011_original4_NS_0.01_1,0.4482992046031478
MM_defect4ml011_original4_WS_0.01_1,0.3679712100764732
