,FM_defect4ml026_faulty
MM_defect4ml026_GF_0.01_1,0.9706 (reliable)
MM_defect4ml026_GF_0.1_1,0.9799 (reliable)
MM_defect4ml026_GF_0.2_1,0.9610 (reliable)
MM_defect4ml026_GF_0.6_1,0.9908 (reliable)
MM_defect4ml026_GF_1.0_1,0.9519 (reliable)
MM_defect4ml026_LA_0.01_1,0.9723 (reliable)
MM_defect4ml026_LD_0.01_1,0.0000 (unreliable)
MM_defect4ml026_LR_0.01_1,0.0000 (unreliable)
MM_defect4ml026_NAI_0.01_1,0.9880 (reliable)
MM_defect4ml026_NAI_0.1_1,0.9181 (unreliable)
MM_defect4ml026_NAI_0.2_1,0.9000 (reliable)
MM_defect4ml026_NEB_0.01_1,0.9982 (reliable)
MM_defect4ml026_NEB_0.1_1,0.9920 (reliable)
MM_defect4ml026_NEB_0.2_1,0.9569 (unreliable)
MM_defect4ml026_NS_0.01_1,0.9927 (reliable)
MM_defect4ml026_NS_0.1_1,0.8880 (reliable)
MM_defect4ml026_NS_0.2_1,0.9286 (unreliable)
MM_defect4ml026_NS_0.6_1,0.9036 (reliable)
MM_defect4ml026_NS_1.0_1,0.9087 (reliable)
MM_defect4ml026_WS_0.01_1,0.9909 (reliable)
MM_defect4ml026_WS_0.1_1,0.9849 (reliable)
