,FM_defect4ml052_faulty
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_1,0.33653187114461963
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_5,0.05932203389830509
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_6,0.21052631578947367
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_l2_1,0.29141835518474374
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_l2_5,0.05642530984996739
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l1_l2_6,0.19847939175670268
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l2_1,0.467652495378928
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l2_5,0.15209003215434083
MM_defect4ml052_add_weights_regularisation_mutated0_MP_l2_6,0.39482200647249194
MM_defect4ml052_change_activation_function_mutated0_MP_elu_1,0.3829444891391794
MM_defect4ml052_change_activation_function_mutated0_MP_elu_5,0.49526813880126186
MM_defect4ml052_change_activation_function_mutated0_MP_elu_6,0.024556112871957417
MM_defect4ml052_change_activation_function_mutated0_MP_exponential_1,0.02756302521008403
MM_defect4ml052_change_activation_function_mutated0_MP_exponential_5,0.3934707903780068
MM_defect4ml052_change_activation_function_mutated0_MP_exponential_6,0.09912189313885994
MM_defect4ml052_change_activation_function_mutated0_MP_hard_sigmoid_1,0.03338647232976543
MM_defect4ml052_change_activation_function_mutated0_MP_hard_sigmoid_5,0.40542697525937743
MM_defect4ml052_change_activation_function_mutated0_MP_hard_sigmoid_6,0.021944675142145275
MM_defect4ml052_change_activation_function_mutated0_MP_linear_1,0.38091543832428243
MM_defect4ml052_change_activation_function_mutated0_MP_linear_5,0.27418463239358754
MM_defect4ml052_change_activation_function_mutated0_MP_linear_6,0.026499071371716632
MM_defect4ml052_change_activation_function_mutated0_MP_relu_1,0.5547703180212014
MM_defect4ml052_change_activation_function_mutated0_MP_relu_5,0.5693430656934307
MM_defect4ml052_change_activation_function_mutated0_MP_relu_6,0.01669849664560991
MM_defect4ml052_change_activation_function_mutated0_MP_selu_1,0.34663710273466375
MM_defect4ml052_change_activation_function_mutated0_MP_selu_5,0.49593495934959353
MM_defect4ml052_change_activation_function_mutated0_MP_selu_6,0.022275258552108195
MM_defect4ml052_change_activation_function_mutated0_MP_sigmoid_1,0.0369921776431996
MM_defect4ml052_change_activation_function_mutated0_MP_sigmoid_5,0.3964034401876466
MM_defect4ml052_change_activation_function_mutated0_MP_sigmoid_6,0.6006984866123399
MM_defect4ml052_change_activation_function_mutated0_MP_softmax_1,0.10261693797650936
MM_defect4ml052_change_activation_function_mutated0_MP_softmax_5,0.048416820237895786
MM_defect4ml052_change_activation_function_mutated0_MP_softmax_6,0.5906210392902407
MM_defect4ml052_change_activation_function_mutated0_MP_softplus_1,0.02776621902780405
MM_defect4ml052_change_activation_function_mutated0_MP_softplus_5,0.47600000000000003
MM_defect4ml052_change_activation_function_mutated0_MP_softplus_6,0.5265348595213318
MM_defect4ml052_change_activation_function_mutated0_MP_softsign_1,0.37490608564988737
MM_defect4ml052_change_activation_function_mutated0_MP_softsign_5,0.5236004390779364
MM_defect4ml052_change_activation_function_mutated0_MP_softsign_6,0.025128804880361604
MM_defect4ml052_change_activation_function_mutated0_MP_tanh_1,0.3585346843335931
MM_defect4ml052_change_activation_function_mutated0_MP_tanh_5,0.5475
MM_defect4ml052_change_activation_function_mutated0_MP_tanh_6,0.021181863687857315
MM_defect4ml052_change_dropout_rate_mutated0_MP_0.125_0.125_3,0.5776986951364175
MM_defect4ml052_change_dropout_rate_mutated0_MP_0.5_0.5_3,0.5127659574468085
MM_defect4ml052_change_dropout_rate_mutated0_MP_0.75_0.75_3,0.33557046979865773
MM_defect4ml052_change_dropout_rate_mutated0_MP_0.9_0.9_3,0.18249316139116845
MM_defect4ml052_change_epochs_mutated0_MP_1,0.1645610625202462
MM_defect4ml052_change_epochs_mutated0_MP_16,0.5049900199600798
MM_defect4ml052_change_epochs_mutated0_MP_17,0.5614236509758898
MM_defect4ml052_change_epochs_mutated0_MP_18,0.5496264674493062
MM_defect4ml052_change_epochs_mutated0_MP_19,0.5474613686534218
MM_defect4ml052_change_epochs_mutated0_MP_20,0.5566893424036281
MM_defect4ml052_change_epochs_mutated0_MP_23,0.6002490660024907
MM_defect4ml052_change_epochs_mutated0_MP_30,0.558258642765685
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.0001,0.20526106018333998
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00055,0.4138204924543289
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00067,0.477511961722488
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00072,0.509433962264151
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00075,0.49505928853754927
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00077,0.5073839662447258
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00078,0.5294117647058822
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00089,0.5677867902665121
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.0009,0.5522565320665083
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00092,0.5535307517084281
MM_defect4ml052_change_learning_rate_mutated0_MP_False_0.00094,0.5451388888888888
