,FM_defect4ml074_faulty
MM_defect4ml074_add_noise_mutated0_MP_100,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_12.5,0.9787 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_18.75,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_21.88,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_25.0,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_47.5,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_50.0,0.9800 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_51.88,0.9796 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_56.25,0.9796 (unreliable)
MM_defect4ml074_add_noise_mutated0_MP_65.0,0.9778 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_1,1.0000 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_2,0.9750 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_3,0.9800 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_l2_1,0.9792 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_l2_2,1.0000 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l1_l2_3,0.9800 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l2_1,0.9783 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l2_2,0.9800 (unreliable)
MM_defect4ml074_add_weights_regularisation_mutated0_MP_l2_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_elu_1,0.9796 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_elu_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_elu_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_exponential_1,0.9796 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_exponential_2,1.0000 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_exponential_3,0.9783 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_hard_sigmoid_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_hard_sigmoid_2,0.9792 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_hard_sigmoid_3,0.9714 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_linear_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_linear_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_linear_3,0.9792 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_relu_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_relu_2,0.9796 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_relu_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_selu_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_selu_2,0.9792 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_selu_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_sigmoid_1,0.9787 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_sigmoid_2,0.9787 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_sigmoid_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softmax_1,0.9688 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softmax_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softmax_3,0.9730 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softplus_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softplus_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softplus_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softsign_1,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softsign_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_softsign_3,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_tanh_1,0.9796 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_tanh_2,0.9800 (unreliable)
MM_defect4ml074_change_activation_function_mutated0_MP_tanh_3,0.9796 (unreliable)
MM_defect4ml074_change_batch_size_mutated0_MP_128_128,0.9787 (unreliable)
MM_defect4ml074_change_batch_size_mutated0_MP_16_16,0.9796 (unreliable)
MM_defect4ml074_change_batch_size_mutated0_MP_256_256,0.9800 (unreliable)
MM_defect4ml074_change_batch_size_mutated0_MP_32_32,0.9800 (unreliable)
MM_defect4ml074_change_epochs_mutated0_MP_1,0.9778 (unreliable)
MM_defect4ml074_change_epochs_mutated0_MP_2,0.9800 (unreliable)
MM_defect4ml074_change_epochs_mutated0_MP_3,0.9800 (unreliable)
MM_defect4ml074_change_label_mutated0_MP_100,0.9800 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.0001,0.9762 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00033,0.9800 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00044,0.9800 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00047,0.9787 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00048,0.9800 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00049,0.9796 (unreliable)
MM_defect4ml074_change_learning_rate_mutated0_MP_False_0.00055,0.9792 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_binary_crossentropy,0.9792 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_categorical_crossentropy,0.9730 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_categorical_hinge,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_hinge,0.9714 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_huber_loss,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_logcosh,1.0000 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_mean_absolute_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_poisson,0.9800 (unreliable)
MM_defect4ml074_change_loss_function_mutated0_MP_squared_hinge,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adadelta,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adagrad,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_adamax,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_nadam,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_rmsprop,0.9800 (unreliable)
MM_defect4ml074_change_optimisation_function_mutated0_MP_sgd,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_1,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_2,0.9730 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_constant_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_1,0.9796 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_glorot_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_normal_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_1,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_2,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_he_uniform_3,0.9800 (unreliable)
MM_defect4ml074_change_weights_initialisation_mutated0_MP_lecun_normal_1,0.9796 (unreliable)
