,FM_cleanml006_faulty
MM_cleanml006_add_noise_mutated0_MP_100,0.2247 (reliable)
MM_cleanml006_add_noise_mutated0_MP_50.0,0.2704 (reliable)
MM_cleanml006_add_noise_mutated0_MP_75.0,0.2332 (reliable)
MM_cleanml006_add_noise_mutated0_MP_87.5,0.1976 (reliable)
MM_cleanml006_add_noise_mutated0_MP_93.75,0.1801 (reliable)
MM_cleanml006_add_noise_mutated0_MP_96.88,0.1920 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l1_1,0.1770 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l1_2,0.3680 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l1_l2_1,0.1811 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l1_l2_2,0.3465 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l2_1,0.3508 (reliable)
MM_cleanml006_add_weights_regularisation_mutated0_MP_l2_2,0.4465 (unreliable)
MM_cleanml006_change_activation_function_mutated0_MP_elu_1,0.3946 (unreliable)
MM_cleanml006_change_activation_function_mutated0_MP_elu_2,0.2208 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_exponential_1,0.3168 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_exponential_2,0.1650 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_hard_sigmoid_1,0.4012 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_hard_sigmoid_2,0.3424 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_linear_1,0.1608 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_linear_2,0.2361 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_relu_1,0.4533 (unreliable)
MM_cleanml006_change_activation_function_mutated0_MP_relu_2,0.2343 (reliable)
MM_cleanml006_change_activation_function_mutated0_MP_selu_1,0.4027 (unreliable)
MM_cleanml006_change_activation_function_mutated0_MP_selu_2,0.2185 (reliable)
