,FM_cleanml008_faulty
MM_cleanml008_add_noise_mutated0_MP_100,0.25101814142910034
MM_cleanml008_add_noise_mutated0_MP_50.0,0.2597962382445141
MM_cleanml008_add_noise_mutated0_MP_75.0,0.24063564131668555
MM_cleanml008_add_noise_mutated0_MP_87.5,0.26181683899556873
MM_cleanml008_add_noise_mutated0_MP_93.75,0.24954195676071822
MM_cleanml008_add_noise_mutated0_MP_96.88,0.24451060662448826
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_1,0.21747076023391812
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_2,0.21364221364221364
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2114892060007318
MM_cleanml008_add_weights_regularisation_mutated0_MP_l1_l2_2,0.2278042442615851
MM_cleanml008_add_weights_regularisation_mutated0_MP_l2_1,0.24896949711459196
MM_cleanml008_add_weights_regularisation_mutated0_MP_l2_2,0.23879272081668887
MM_cleanml008_change_activation_function_mutated0_MP_elu_1,0.23863162286191072
MM_cleanml008_change_activation_function_mutated0_MP_elu_2,0.2566465792272244
MM_cleanml008_change_activation_function_mutated0_MP_exponential_1,0.25042186972662844
MM_cleanml008_change_activation_function_mutated0_MP_exponential_2,0.20783645655877342
MM_cleanml008_change_activation_function_mutated0_MP_hard_sigmoid_1,0.23443983402489627
MM_cleanml008_change_activation_function_mutated0_MP_hard_sigmoid_2,0.2502021018593371
MM_cleanml008_change_activation_function_mutated0_MP_linear_1,0.21010248901903367
MM_cleanml008_change_activation_function_mutated0_MP_linear_2,0.2545519457336665
MM_cleanml008_change_activation_function_mutated0_MP_relu_1,0.23899102180418982
MM_cleanml008_change_activation_function_mutated0_MP_relu_2,0.26310003664345916
MM_cleanml008_change_activation_function_mutated0_MP_selu_1,0.24149108589951376
MM_cleanml008_change_activation_function_mutated0_MP_selu_2,0.22770100502512564
MM_cleanml008_change_activation_function_mutated0_MP_sigmoid_1,0.23008095440988496
MM_cleanml008_change_activation_function_mutated0_MP_sigmoid_2,0.24304664099272574
MM_cleanml008_change_activation_function_mutated0_MP_softmax_1,0.2481936416184971
MM_cleanml008_change_activation_function_mutated0_MP_softmax_2,0.19366128718646705
MM_cleanml008_change_activation_function_mutated0_MP_softplus_1,0.22503214744963565
MM_cleanml008_change_activation_function_mutated0_MP_softplus_2,0.21250914411119237
MM_cleanml008_change_activation_function_mutated0_MP_softsign_1,0.2485453034081463
MM_cleanml008_change_activation_function_mutated0_MP_softsign_2,0.2697063369397218
MM_cleanml008_change_activation_function_mutated0_MP_tanh_1,0.2549101546176348
MM_cleanml008_change_activation_function_mutated0_MP_tanh_2,0.26508447304907484
MM_cleanml008_change_batch_size_mutated0_MP_100_100,0.2402001668056714
MM_cleanml008_change_batch_size_mutated0_MP_400_400,0.2449068053749458
MM_cleanml008_change_batch_size_mutated0_MP_50_50,0.24585406301824214
MM_cleanml008_change_batch_size_mutated0_MP_800_800,0.23838471558836302
MM_cleanml008_change_epochs_mutated0_MP_1,0.2340720221606649
MM_cleanml008_change_epochs_mutated0_MP_100,0.2566798072711345
MM_cleanml008_change_epochs_mutated0_MP_150,0.23083475298126066
MM_cleanml008_change_epochs_mutated0_MP_162,0.22988505747126436
MM_cleanml008_change_epochs_mutated0_MP_168,0.23827956989247315
MM_cleanml008_change_epochs_mutated0_MP_172,0.23361702127659578
MM_cleanml008_change_epochs_mutated0_MP_174,0.2308016877637131
MM_cleanml008_change_epochs_mutated0_MP_175,0.25416488680051263
MM_cleanml008_change_label_mutated0_MP_100,0.09480532892698543
MM_cleanml008_change_label_mutated0_MP_12.5,0.20978363123236127
MM_cleanml008_change_label_mutated0_MP_25.0,0.17806301050175033
MM_cleanml008_change_label_mutated0_MP_3.12,0.2405265257279617
MM_cleanml008_change_label_mutated0_MP_50.0,0.13695855406668747
MM_cleanml008_change_label_mutated0_MP_6.25,0.22725611983924007
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.0001,0.22597180692011962
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.00055,0.22582037996545767
MM_cleanml008_change_learning_rate_mutated0_MP_False_0.00078,0.22698345354263896
