,FM_cleanml009_faulty
MM_cleanml009_original0_GF_0.01_1,0.05428309665597801
MM_cleanml009_original0_LA_0.01_1,0.11992425836313905
MM_cleanml009_original0_NAI_0.01_1,0.037730330505995904
MM_cleanml009_original0_NEB_0.01_1,0.031240428790199073
MM_cleanml009_original0_NS_0.01_1,0.03206106870229008
MM_cleanml009_original0_WS_0.01_1,0.023780487804878053
MM_cleanml009_original1_GF_0.01_1,0.07227744165946415
MM_cleanml009_original1_LA_0.01_1,0.14375768757687576
MM_cleanml009_original1_NAI_0.01_1,0.025802580258025808
MM_cleanml009_original1_NEB_0.01_1,0.02732732732732733
MM_cleanml009_original1_NS_0.01_1,0.019928613920285543
MM_cleanml009_original1_WS_0.01_1,0.020777678836449986
MM_cleanml009_original2_GF_0.01_1,0.0703594729435845
MM_cleanml009_original2_LA_0.01_1,0.11701680672268908
MM_cleanml009_original2_NAI_0.01_1,0.023105360443622918
MM_cleanml009_original2_NEB_0.01_1,0.049221183800623056
MM_cleanml009_original2_NS_0.01_1,0.023388305847076463
MM_cleanml009_original2_WS_0.01_1,0.04506699147381242
MM_cleanml009_original3_GF_0.01_1,0.06967592592592593
MM_cleanml009_original3_LA_0.01_1,0.11852631578947367
MM_cleanml009_original3_NAI_0.01_1,0.06441080439299494
MM_cleanml009_original3_NEB_0.01_1,0.043114143920595545
MM_cleanml009_original3_NS_0.01_1,0.0237141977209732
MM_cleanml009_original3_WS_0.01_1,0.049566294919454766
MM_cleanml009_original4_GF_0.01_1,0.07231537181620376
MM_cleanml009_original4_LA_0.01_1,0.14732765298218437
MM_cleanml009_original4_NAI_0.01_1,0.05998209489704567
MM_cleanml009_original4_NEB_0.01_1,0.03211859172328598
MM_cleanml009_original4_WS_0.01_1,0.046491728465487735
