,FM_cleanml018_faulty
MM_cleanml018_GF_0.01_1,0.0289 (reliable)
MM_cleanml018_GF_0.1_1,0.0927 (reliable)
MM_cleanml018_GF_0.2_1,0.1389 (reliable)
MM_cleanml018_GF_0.6_1,0.2387 (reliable)
MM_cleanml018_GF_1.0_1,0.1752 (reliable)
MM_cleanml018_LA_0.01_1,0.1273 (unreliable)
MM_cleanml018_NAI_0.01_1,0.1044 (reliable)
MM_cleanml018_NEB_0.01_1,0.0145 (reliable)
MM_cleanml018_NEB_0.1_1,0.1444 (reliable)
MM_cleanml018_NEB_0.2_1,0.1458 (reliable)
MM_cleanml018_NS_0.01_1,0.0688 (reliable)
MM_cleanml018_NS_0.1_1,0.1757 (reliable)
MM_cleanml018_WS_0.01_1,0.0805 (reliable)
MM_cleanml018_WS_0.1_1,0.1919 (reliable)
