,FM_deepfd002_faulty
MM_deepfd002_original0_GF_0.01_1,0.22838137472283815
MM_deepfd002_original0_LA_0.01_1,0.03912678421494543
MM_deepfd002_original0_LD_0.01_1,0.18750000000000003
MM_deepfd002_original0_LR_0.01_1,0.18750000000000003
MM_deepfd002_original0_NAI_0.01_1,0.2796610169491526
MM_deepfd002_original0_NEB_0.01_1,0.23600000000000002
MM_deepfd002_original0_NS_0.01_1,0.08047690014903129
MM_deepfd002_original0_WS_0.01_1,0.2178649237472767
MM_deepfd002_original1_GF_0.01_1,0.2234273318872017
MM_deepfd002_original1_LA_0.01_1,0.02145045965270684
MM_deepfd002_original1_LD_0.01_1,0.1812227074235808
MM_deepfd002_original1_LR_0.01_1,0.1812227074235808
MM_deepfd002_original1_NAI_0.01_1,0.22538293216630198
MM_deepfd002_original1_NEB_0.01_1,0.2384937238493724
MM_deepfd002_original1_NS_0.01_1,0.06534744592728947
MM_deepfd002_original1_WS_0.01_1,0.2060301507537688
MM_deepfd002_original2_GF_0.01_1,0.2173913043478261
MM_deepfd002_original2_LA_0.01_1,0.1811926605504587
MM_deepfd002_original2_LD_0.01_1,0.1762013729977117
MM_deepfd002_original2_LR_0.01_1,0.1762013729977117
MM_deepfd002_original2_NAI_0.01_1,0.028191072826938137
MM_deepfd002_original2_NEB_0.01_1,0.22368421052631585
MM_deepfd002_original2_NS_0.01_1,0.08381924198250731
MM_deepfd002_original2_WS_0.01_1,0.2409090909090909
MM_deepfd002_original3_GF_0.01_1,0.20659340659340653
MM_deepfd002_original3_LA_0.01_1,0.025596679349705987
MM_deepfd002_original3_LD_0.01_1,0.1693735498839907
MM_deepfd002_original3_LR_0.01_1,0.1693735498839907
MM_deepfd002_original3_NAI_0.01_1,0.20430107526881716
MM_deepfd002_original3_NEB_0.01_1,0.2441860465116279
MM_deepfd002_original3_NS_0.01_1,0.07635829662261381
MM_deepfd002_original3_WS_0.01_1,0.222972972972973
MM_deepfd002_original4_GF_0.01_1,0.18574514038876894
MM_deepfd002_original4_LA_0.01_1,0.02903600464576074
MM_deepfd002_original4_LD_0.01_1,0.14192139737991266
MM_deepfd002_original4_LR_0.01_1,0.14192139737991266
MM_deepfd002_original4_NAI_0.01_1,0.22153209109730848
MM_deepfd002_original4_NEB_0.01_1,0.21661054994388326
MM_deepfd002_original4_NS_0.01_1,0.22431865828092243
MM_deepfd002_original4_WS_0.01_1,0.2098501070663812
