,FM_deepfd035_faulty
MM_deepfd035_add_noise_mutated0_MP_100,0.0270 (reliable)
MM_deepfd035_add_noise_mutated0_MP_25.0,0.0000 (unreliable)
MM_deepfd035_add_noise_mutated0_MP_37.5,0.0000 (unreliable)
MM_deepfd035_add_noise_mutated0_MP_40.62,0.2857 (unreliable)
MM_deepfd035_add_noise_mutated0_MP_43.75,0.1429 (unreliable)
MM_deepfd035_add_noise_mutated0_MP_46.88,0.3333 (unreliable)
MM_deepfd035_add_noise_mutated0_MP_50.0,0.0952 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l1_1,0.1429 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l1_3,0.0000 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0000 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l1_l2_3,0.6667 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l2_1,0.0000 (unreliable)
MM_deepfd035_add_weights_regularisation_mutated0_MP_l2_3,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_elu_2,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_elu_4,0.0119 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_exponential_2,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_exponential_4,0.0181 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_hard_sigmoid_2,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_hard_sigmoid_4,0.0124 (reliable)
MM_deepfd035_change_activation_function_mutated0_MP_linear_2,0.5000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_linear_4,0.0173 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_relu_2,0.1667 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_relu_4,0.0115 (reliable)
MM_deepfd035_change_activation_function_mutated0_MP_selu_2,0.4000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_selu_4,0.0119 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_sigmoid_2,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_sigmoid_4,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softmax_2,0.2000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softmax_4,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softplus_2,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softplus_4,0.0000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softsign_2,0.5000 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_softsign_4,0.0135 (unreliable)
MM_deepfd035_change_activation_function_mutated0_MP_tanh_2,0.2500 (unreliable)
