,FM_deepfd036_faulty
MM_deepfd036_original0_GF_0.01_1,0.2087 (unreliable)
MM_deepfd036_original0_LA_0.01_1,0.0111 (unreliable)
MM_deepfd036_original0_LD_0.01_1,0.1748 (reliable)
MM_deepfd036_original0_LR_0.01_1,0.1748 (reliable)
MM_deepfd036_original0_NAI_0.01_1,0.0288 (reliable)
MM_deepfd036_original0_NEB_0.01_1,0.0429 (unreliable)
MM_deepfd036_original0_NS_0.01_1,0.2133 (unreliable)
MM_deepfd036_original0_WS_0.01_1,0.2176 (reliable)
MM_deepfd036_original1_GF_0.01_1,0.1867 (reliable)
MM_deepfd036_original1_LA_0.01_1,0.1885 (reliable)
MM_deepfd036_original1_LD_0.01_1,0.1721 (reliable)
MM_deepfd036_original1_LR_0.01_1,0.1721 (reliable)
MM_deepfd036_original1_NAI_0.01_1,0.0277 (reliable)
MM_deepfd036_original1_NEB_0.01_1,0.2075 (reliable)
MM_deepfd036_original1_NS_0.01_1,0.2162 (reliable)
MM_deepfd036_original1_WS_0.01_1,0.2040 (reliable)
MM_deepfd036_original2_GF_0.01_1,0.1849 (reliable)
MM_deepfd036_original2_LA_0.01_1,0.0151 (reliable)
MM_deepfd036_original2_LD_0.01_1,0.1619 (reliable)
MM_deepfd036_original2_LR_0.01_1,0.1619 (reliable)
MM_deepfd036_original2_NAI_0.01_1,0.0196 (reliable)
MM_deepfd036_original2_NEB_0.01_1,0.1825 (reliable)
MM_deepfd036_original2_NS_0.01_1,0.1986 (reliable)
MM_deepfd036_original2_WS_0.01_1,0.2048 (reliable)
MM_deepfd036_original3_GF_0.01_1,0.2056 (reliable)
MM_deepfd036_original3_LA_0.01_1,0.2000 (reliable)
MM_deepfd036_original3_LD_0.01_1,0.1992 (reliable)
MM_deepfd036_original3_LR_0.01_1,0.1992 (reliable)
MM_deepfd036_original3_NAI_0.01_1,0.0307 (reliable)
MM_deepfd036_original3_NEB_0.01_1,0.2500 (unreliable)
MM_deepfd036_original3_NS_0.01_1,0.2305 (unreliable)
MM_deepfd036_original3_WS_0.01_1,0.0473 (reliable)
MM_deepfd036_original4_GF_0.01_1,0.2189 (reliable)
MM_deepfd036_original4_LA_0.01_1,0.0129 (unreliable)
MM_deepfd036_original4_LD_0.01_1,0.1966 (reliable)
MM_deepfd036_original4_LR_0.01_1,0.1966 (reliable)
MM_deepfd036_original4_NAI_0.01_1,0.0476 (reliable)
MM_deepfd036_original4_NEB_0.01_1,0.0334 (unreliable)
MM_deepfd036_original4_NS_0.01_1,0.0523 (reliable)
MM_deepfd036_original4_WS_0.01_1,0.0512 (unreliable)
