,FM_deeplocalize008_faulty
MM_deeplocalize008_GF_0.01_1,0.12325174825174823
MM_deeplocalize008_GF_0.1_1,0.1395501201135619
MM_deeplocalize008_GF_0.2_1,0.16967195307408212
MM_deeplocalize008_GF_0.6_1,0.21863723201018892
MM_deeplocalize008_GF_1.0_1,0.27980730630268963
MM_deeplocalize008_LA_0.01_1,0.12887047535979065
MM_deeplocalize008_NAI_0.01_1,0.1191359371590661
MM_deeplocalize008_NAI_0.1_1,0.31391784181483745
MM_deeplocalize008_NAI_0.2_1,0.6042884990253412
MM_deeplocalize008_NAI_0.6_1,0.6098130841121495
MM_deeplocalize008_NEB_0.01_1,0.14251418594500218
MM_deeplocalize008_NEB_0.1_1,0.31703734788082244
MM_deeplocalize008_NEB_0.2_1,0.5645284459717451
MM_deeplocalize008_NEB_0.6_1,0.6436833408442242
MM_deeplocalize008_NS_0.01_1,0.12889179185717398
MM_deeplocalize008_NS_0.1_1,0.2764541747156042
MM_deeplocalize008_NS_0.2_1,0.47708333333333336
MM_deeplocalize008_NS_0.6_1,0.6590946233044614
MM_deeplocalize008_NS_1.0_1,0.6232796486090776
MM_deeplocalize008_WS_0.01_1,0.13152762730227519
MM_deeplocalize008_WS_0.1_1,0.3529903805938938
MM_deeplocalize008_WS_0.2_1,0.4145088368269626
MM_deeplocalize008_WS_0.6_1,0.6404119963647379
