,FM_deeplocalize015_faulty
MM_deeplocalize015_add_activation_function_mutated0_MP_elu_1,0.0076 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_elu_3,0.0059 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_exponential_1,0.0096 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_exponential_3,0.0092 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_hard_sigmoid_1,0.1776 (unreliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_hard_sigmoid_3,0.1781 (unreliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_linear_1,0.0079 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_linear_3,0.0074 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_relu_1,0.0073 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_relu_3,0.0072 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_selu_1,0.0074 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_selu_3,0.0087 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_sigmoid_1,0.0073 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_sigmoid_3,0.0091 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softmax_1,0.0078 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softmax_3,0.0091 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softplus_1,0.0097 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softplus_3,0.0072 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softsign_1,0.0069 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_softsign_3,0.0081 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_tanh_1,0.0075 (reliable)
MM_deeplocalize015_add_activation_function_mutated0_MP_tanh_3,0.0066 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_100,0.0104 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_25.0,0.0065 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_31.25,0.0073 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_34.38,0.0072 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_37.5,0.0079 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_43.75,0.0076 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_46.88,0.0077 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_50.0,0.0064 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_56.25,0.0065 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_59.38,0.0070 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_62.5,0.0084 (reliable)
MM_deeplocalize015_add_noise_mutated0_MP_75.0,0.0078 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_1,0.0074 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_3,0.0164 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_6,0.0263 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_7,0.0089 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_l2_1,0.0080 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_l2_3,0.0111 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_l2_6,0.0257 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l1_l2_7,0.0113 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l2_1,0.0074 (reliable)
MM_deeplocalize015_add_weights_regularisation_mutated0_MP_l2_3,0.0093 (reliable)
