,FM_deeplocalize024_faulty
MM_deeplocalize024_add_noise_mutated0_MP_100,0.06521739130434784
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_1,0.045454545454545456
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_2,0.08490566037735851
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_l2_1,0.2424242424242425
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l1_l2_2,0.24369747899159666
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l2_1,0.06930693069306933
MM_deeplocalize024_add_weights_regularisation_mutated0_MP_l2_2,0.11320754716981134
MM_deeplocalize024_change_activation_function_mutated0_MP_elu_1,0.03636363636363637
MM_deeplocalize024_change_activation_function_mutated0_MP_exponential_1,0.021505376344086027
MM_deeplocalize024_change_activation_function_mutated0_MP_exponential_2,0.04901960784313726
MM_deeplocalize024_change_activation_function_mutated0_MP_hard_sigmoid_1,0.12068965517241383
MM_deeplocalize024_change_activation_function_mutated0_MP_hard_sigmoid_2,0.30468750000000006
MM_deeplocalize024_change_activation_function_mutated0_MP_linear_1,0.05
MM_deeplocalize024_change_activation_function_mutated0_MP_linear_2,0.4
MM_deeplocalize024_change_activation_function_mutated0_MP_relu_1,0.19191919191919196
MM_deeplocalize024_change_activation_function_mutated0_MP_selu_1,0.010869565217391306
MM_deeplocalize024_change_activation_function_mutated0_MP_sigmoid_1,0.10679611650485438
MM_deeplocalize024_change_activation_function_mutated0_MP_sigmoid_2,0.11111111111111116
MM_deeplocalize024_change_activation_function_mutated0_MP_softmax_1,0.06306306306306309
MM_deeplocalize024_change_activation_function_mutated0_MP_softmax_2,0.059405940594059424
MM_deeplocalize024_change_activation_function_mutated0_MP_softplus_1,0.05714285714285715
MM_deeplocalize024_change_activation_function_mutated0_MP_softplus_2,0.26363636363636367
MM_deeplocalize024_change_activation_function_mutated0_MP_softsign_1,0.07586206896551724
MM_deeplocalize024_change_activation_function_mutated0_MP_tanh_1,0.08247422680412372
MM_deeplocalize024_change_batch_size_mutated0_MP_10_10,0.1044776119402985
MM_deeplocalize024_change_batch_size_mutated0_MP_1_1,0.02173913043478261
MM_deeplocalize024_change_batch_size_mutated0_MP_20_20,0.2746478873239437
MM_deeplocalize024_change_batch_size_mutated0_MP_2_2,0.021505376344086027
MM_deeplocalize024_change_epochs_mutated0_MP_1,0.5085714285714285
MM_deeplocalize024_change_epochs_mutated0_MP_14,0.2993630573248407
MM_deeplocalize024_change_epochs_mutated0_MP_20,0.29078014184397166
MM_deeplocalize024_change_epochs_mutated0_MP_23,0.12820512820512822
MM_deeplocalize024_change_epochs_mutated0_MP_26,0.11718750000000001
MM_deeplocalize024_change_epochs_mutated0_MP_38,0.2868852459016394
MM_deeplocalize024_change_epochs_mutated0_MP_41,0.09174311926605505
MM_deeplocalize024_change_epochs_mutated0_MP_44,0.2571428571428572
MM_deeplocalize024_change_label_mutated0_MP_100,0.12048192771084336
MM_deeplocalize024_change_label_mutated0_MP_12.5,0.11304347826086956
MM_deeplocalize024_change_label_mutated0_MP_15.62,0.12903225806451615
MM_deeplocalize024_change_label_mutated0_MP_18.75,0.1417322834645669
MM_deeplocalize024_change_label_mutated0_MP_21.88,0.14516129032258063
MM_deeplocalize024_change_label_mutated0_MP_25.0,0.1438848920863309
MM_deeplocalize024_change_label_mutated0_MP_50.0,0.125
MM_deeplocalize024_change_learning_rate_mutated0_MP_False_0.0001,0.27826086956521745
MM_deeplocalize024_change_loss_function_mutated0_MP_binary_crossentropy,0.13274336283185845
MM_deeplocalize024_change_loss_function_mutated0_MP_categorical_hinge,0.12096774193548386
MM_deeplocalize024_change_loss_function_mutated0_MP_hinge,0.3658536585365854
MM_deeplocalize024_change_loss_function_mutated0_MP_huber_loss,0.326530612244898
MM_deeplocalize024_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.2755102040816327
