,FM_deeplocalize038_faulty
MM_deeplocalize038_original0_GF_0.01_1,0.0659 (reliable)
MM_deeplocalize038_original0_LA_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original0_NAI_0.01_1,0.0124 (reliable)
MM_deeplocalize038_original0_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original1_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original1_LA_0.01_1,0.0790 (reliable)
MM_deeplocalize038_original1_NAI_0.01_1,0.2153 (reliable)
MM_deeplocalize038_original1_NEB_0.01_1,0.1127 (reliable)
MM_deeplocalize038_original1_NS_0.01_1,0.2712 (reliable)
MM_deeplocalize038_original1_WS_0.01_1,0.0448 (reliable)
MM_deeplocalize038_original2_GF_0.01_1,0.0806 (reliable)
MM_deeplocalize038_original2_LA_0.01_1,0.0511 (unreliable)
MM_deeplocalize038_original2_NAI_0.01_1,0.1002 (reliable)
MM_deeplocalize038_original2_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original2_NS_0.01_1,0.2854 (reliable)
MM_deeplocalize038_original2_WS_0.01_1,0.0397 (reliable)
MM_deeplocalize038_original3_GF_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original3_LA_0.01_1,0.0476 (reliable)
MM_deeplocalize038_original3_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original3_NEB_0.01_1,0.0506 (reliable)
MM_deeplocalize038_original3_NS_0.01_1,0.0528 (reliable)
MM_deeplocalize038_original3_WS_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original4_GF_0.01_1,0.1158 (reliable)
MM_deeplocalize038_original4_LA_0.01_1,0.0476 (reliable)
MM_deeplocalize038_original4_NAI_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original4_NEB_0.01_1,0.0000 (reliable)
MM_deeplocalize038_original4_NS_0.01_1,0.1127 (reliable)
