,FM_defect4ml047_faulty
MM_defect4ml047_add_noise_mutated0_MP_100,0.7233273056057865
MM_defect4ml047_add_noise_mutated0_MP_25.0,0.4219858156028368
MM_defect4ml047_add_noise_mutated0_MP_37.5,0.5643564356435643
MM_defect4ml047_add_noise_mutated0_MP_40.62,0.6053511705685619
MM_defect4ml047_add_noise_mutated0_MP_43.75,0.5703056768558952
MM_defect4ml047_add_noise_mutated0_MP_46.88,0.6324074074074074
MM_defect4ml047_add_noise_mutated0_MP_50.0,0.6030330062444246
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_1,0.5588499550763701
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_13,0.6345311130587205
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_16,0.6426592797783933
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_21,0.7918593894542091
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_24,0.6469002695417789
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_27,0.5905368516833486
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_6,0.5542495479204339
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_9,0.5373256767842495
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_1,0.5426421404682275
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_13,0.43083900226757366
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_16,0.5269262634631318
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_21,0.7956204379562044
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_24,0.6978417266187049
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_27,0.5926258992805756
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_6,0.6136162687886827
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l1_l2_9,0.5693296602387511
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_1,0.44247038917089676
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_13,0.55668358714044
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_16,0.4874892148403796
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_21,0.5206953642384106
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_24,0.45087163232963556
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_27,0.4858069748580698
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_6,0.5985267034990792
MM_defect4ml047_add_weights_regularisation_mutated0_MP_l2_9,0.3898431665421956
MM_defect4ml047_change_activation_function_mutated0_MP_elu_28,0.36694915254237287
MM_defect4ml047_change_activation_function_mutated0_MP_exponential_28,0.46500402252614637
MM_defect4ml047_change_activation_function_mutated0_MP_hard_sigmoid_28,0.712033195020747
MM_defect4ml047_change_activation_function_mutated0_MP_linear_28,0.4503856041131105
MM_defect4ml047_change_activation_function_mutated0_MP_selu_28,0.4363026819923371
MM_defect4ml047_change_activation_function_mutated0_MP_sigmoid_28,0.6086580086580088
MM_defect4ml047_change_activation_function_mutated0_MP_softmax_28,0.48608695652173917
MM_defect4ml047_change_activation_function_mutated0_MP_softplus_28,0.7470319634703196
MM_defect4ml047_change_activation_function_mutated0_MP_softsign_28,0.4274116523400191
MM_defect4ml047_change_activation_function_mutated0_MP_tanh_28,0.3280182232346242
MM_defect4ml047_change_batch_size_mutated0_MP_16_16,0.48571428571428577
MM_defect4ml047_change_batch_size_mutated0_MP_256_256,0.5605536332179932
MM_defect4ml047_change_batch_size_mutated0_MP_512_512,0.639019792648445
MM_defect4ml047_change_batch_size_mutated0_MP_64_64,0.6109185441941074
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.125_0.125_23,0.3534660260809883
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.125_0.125_26,0.49207673060884066
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.25_0.25_23,0.45047923322683703
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.25_0.25_26,0.49205147615442846
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.75_0.75_23,0.7899543378995434
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.75_0.75_26,0.7609302325581395
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.9_0.9_23,0.7992733878292462
MM_defect4ml047_change_dropout_rate_mutated0_MP_0.9_0.9_26,0.8001816530426884
MM_defect4ml047_change_epochs_mutated0_MP_1,0.572310405643739
MM_defect4ml047_change_label_mutated0_MP_100,0.2041373926619828
MM_defect4ml047_change_label_mutated0_MP_12.5,0.3884533143264433
MM_defect4ml047_change_label_mutated0_MP_25.0,0.3740129217516152
MM_defect4ml047_change_label_mutated0_MP_28.12,0.30314743235781333
MM_defect4ml047_change_label_mutated0_MP_3.12,0.45905334335086395
MM_defect4ml047_change_label_mutated0_MP_31.25,0.284943335132218
MM_defect4ml047_change_label_mutated0_MP_37.5,0.256961406936981
MM_defect4ml047_change_label_mutated0_MP_50.0,0.21929824561403508
MM_defect4ml047_change_label_mutated0_MP_6.25,0.4234449760765551
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.01,0.76691042047532
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.055,0.6333333333333333
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.06,0.6778711484593838
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.063,0.5984522785898538
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.065,0.5890052356020942
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.066,0.48281938325991186
MM_defect4ml047_change_learning_rate_mutated0_MP_False_0.077,0.47491349480968864
MM_defect4ml047_change_loss_function_mutated0_MP_binary_crossentropy,0.609845031905196
MM_defect4ml047_change_loss_function_mutated0_MP_categorical_hinge,0.3757124068391056
MM_defect4ml047_change_loss_function_mutated0_MP_hinge,0.7978241160471442
MM_defect4ml047_change_loss_function_mutated0_MP_huber_loss,0.7615955473098329
MM_defect4ml047_change_loss_function_mutated0_MP_kullback_leibler_divergence,0.6144688644688645
MM_defect4ml047_change_loss_function_mutated0_MP_logcosh,0.7894248608534321
MM_defect4ml047_change_loss_function_mutated0_MP_mean_absolute_error,0.7265336289726534
MM_defect4ml047_change_loss_function_mutated0_MP_mean_absolute_percentage_error,0.5673494723774053
MM_defect4ml047_change_loss_function_mutated0_MP_mean_squared_error,0.7230623818525519
MM_defect4ml047_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,0.7762302692664809
MM_defect4ml047_change_loss_function_mutated0_MP_poisson,0.6045248868778281
MM_defect4ml047_change_loss_function_mutated0_MP_squared_hinge,0.6442831215970962
MM_defect4ml047_change_optimisation_function_mutated0_MP_adagrad,0.7654205607476636
MM_defect4ml047_change_optimisation_function_mutated0_MP_adam,0.5825320512820513
MM_defect4ml047_change_optimisation_function_mutated0_MP_adamax,0.3844961240310077
MM_defect4ml047_change_optimisation_function_mutated0_MP_nadam,0.6865417376490629
MM_defect4ml047_change_optimisation_function_mutated0_MP_rmsprop,0.6532534246575343
MM_defect4ml047_change_weights_initialisation_mutated0_MP_constant_1,0.7978241160471442
MM_defect4ml047_change_weights_initialisation_mutated0_MP_constant_13,0.7978241160471442
