,FM_defect4ml053_faulty
MM_defect4ml053_add_noise_mutated0_MP_100,0.4074 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_12.5,0.1796 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_25.0,0.1714 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_3.12,0.2463 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_31.25,0.1642 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_34.38,0.2536 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_37.5,0.2459 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_50.0,0.1954 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_56.25,0.2747 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_59.38,0.3522 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_6.25,0.2647 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_62.5,0.4364 (reliable)
MM_defect4ml053_add_noise_mutated0_MP_75.0,0.4439 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_11,0.1588 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_12,0.1414 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_2,0.1614 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_4,0.1544 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_6,0.1148 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_8,0.1212 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_11,0.1632 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_12,0.1332 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_2,0.1550 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_4,0.1624 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_6,0.1314 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l1_l2_8,0.1821 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_11,0.1310 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_12,0.1217 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_2,0.1499 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_4,0.1468 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_6,0.1904 (reliable)
MM_defect4ml053_add_weights_regularisation_mutated0_MP_l2_8,0.1446 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_11,0.1110 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_12,0.4167 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_2,0.1274 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_4,0.1270 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_6,0.1093 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_elu_8,0.1529 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_11,0.1423 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_12,0.4787 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_2,0.1712 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_4,0.1575 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_6,0.1662 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_hard_sigmoid_8,0.5092 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_11,0.1197 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_12,0.4076 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_2,0.2206 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_4,0.2801 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_6,0.4446 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_linear_8,0.1335 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_11,0.2039 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_12,0.4019 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_2,0.1693 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_4,0.1757 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_6,0.1071 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_relu_8,0.1289 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_11,0.1264 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_12,0.4116 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_2,0.1425 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_4,0.1509 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_6,0.1965 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_selu_8,0.1302 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_11,0.0914 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_12,0.1180 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_2,0.1875 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_4,0.1786 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_6,0.1568 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_sigmoid_8,0.4204 (reliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softmax_11,0.5346 (unreliable)
MM_defect4ml053_change_activation_function_mutated0_MP_softmax_12,0.1397 (reliable)
