,FM_defect4ml074_faulty
MM_defect4ml074_original0_GF_0.01_1,0.8400 (unreliable)
MM_defect4ml074_original0_LA_0.01_1,0.6600 (unreliable)
MM_defect4ml074_original0_NAI_0.01_1,0.6600 (unreliable)
MM_defect4ml074_original0_NEB_0.01_1,0.7600 (unreliable)
MM_defect4ml074_original1_GF_0.01_1,0.8163 (unreliable)
MM_defect4ml074_original1_LA_0.01_1,0.5714 (unreliable)
MM_defect4ml074_original1_NAI_0.01_1,0.5714 (unreliable)
MM_defect4ml074_original1_NEB_0.01_1,0.5714 (unreliable)
MM_defect4ml074_original1_NS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original1_WS_0.01_1,0.7755 (unreliable)
MM_defect4ml074_original2_GF_0.01_1,0.9200 (unreliable)
MM_defect4ml074_original2_LA_0.01_1,0.8400 (unreliable)
MM_defect4ml074_original2_NAI_0.01_1,0.9000 (unreliable)
MM_defect4ml074_original2_NEB_0.01_1,0.8800 (unreliable)
MM_defect4ml074_original2_NS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original2_WS_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original3_GF_0.01_1,0.9000 (unreliable)
MM_defect4ml074_original3_LA_0.01_1,0.9000 (unreliable)
MM_defect4ml074_original3_NAI_0.01_1,0.9000 (unreliable)
MM_defect4ml074_original3_NEB_0.01_1,0.9000 (unreliable)
MM_defect4ml074_original4_GF_0.01_1,0.9800 (unreliable)
MM_defect4ml074_original4_LA_0.01_1,0.7143 (unreliable)
MM_defect4ml074_original4_NAI_0.01_1,0.7347 (unreliable)
MM_defect4ml074_original4_NEB_0.01_1,0.6735 (unreliable)
