,FM_defect4ml088_faulty
MM_defect4ml088_GF_0.01_1,0.023121387283236993
MM_defect4ml088_GF_0.1_1,0.10869565217391305
MM_defect4ml088_GF_0.2_1,0.09749303621169915
MM_defect4ml088_GF_0.6_1,0.17438692098092642
MM_defect4ml088_GF_1.0_1,0.2661064425770308
MM_defect4ml088_LD_0.01_1,0.0
MM_defect4ml088_LR_0.01_1,0.07608695652173915
MM_defect4ml088_NAI_0.01_1,0.031073446327683614
MM_defect4ml088_NAI_0.1_1,0.2239583333333333
MM_defect4ml088_NEB_0.01_1,0.05428571428571429
MM_defect4ml088_NEB_0.1_1,0.11405835543766579
MM_defect4ml088_NEB_0.2_1,0.129973474801061
MM_defect4ml088_NS_0.01_1,0.01744186046511628
MM_defect4ml088_NS_0.1_1,0.07713498622589532
MM_defect4ml088_NS_0.2_1,0.10485933503836316
MM_defect4ml088_NS_0.6_1,0.16791979949874686
MM_defect4ml088_NS_1.0_1,0.220253164556962
MM_defect4ml088_WS_0.01_1,0.0057971014492753615
MM_defect4ml088_WS_0.1_1,0.11748633879781424
MM_defect4ml088_WS_0.2_1,0.18232044198895025
